customer_id,first_name,last_name,email,phone,address_id,street,city,state,zip,country
CUST0001,FirstName1,LastName1,customer1@example.com,555-7302,ADDR002,6959 Main St,Phoenix,CA,45860,USA
CUST0002,FirstName2,LastName2,customer2@example.com,555-7518,ADDR003,5717 Main St,Chicago,TX,27481,USA
CUST0003,FirstName3,LastName3,customer3@example.com,555-3263,ADDR004,6862 Main St,Phoenix,AZ,49179,USA
CUST0004,FirstName4,LastName4,customer4@example.com,555-9975,ADDR005,5243 Main St,Phoenix,CA,36330,USA
CUST0005,FirstName5,LastName5,customer5@example.com,555-4435,ADDR006,4860 Main St,Chicago,CA,95208,USA
CUST0006,FirstName6,LastName6,customer6@example.com,555-3913,ADDR007,8355 Main St,Phoenix,IL,25126,USA
CUST0007,FirstName7,LastName7,customer7@example.com,555-6771,ADDR008,9312 Main St,Houston,AZ,84794,USA
CUST0008,FirstName8,LastName8,customer8@example.com,555-7839,ADDR009,8847 Main St,Chicago,TX,11673,USA
CUST0009,FirstName9,LastName9,customer9@example.com,555-9564,ADDR010,1844 Main St,New York,TX,29048,USA
CUST0010,FirstName10,LastName10,customer10@example.com,555-1869,ADDR011,1027 Main St,Los Angeles,IL,31094,USA
CUST0011,FirstName11,LastName11,customer11@example.com,555-5695,ADDR012,4205 Main St,Los Angeles,NY,48684,USA
CUST0012,FirstName12,LastName12,customer12@example.com,555-4342,ADDR013,8966 Main St,New York,IL,69322,USA
CUST0013,FirstName13,LastName13,customer13@example.com,555-2679,ADDR014,9305 Main St,Los Angeles,AZ,60972,USA
CUST0014,FirstName14,LastName14,customer14@example.com,555-4892,ADDR015,8470 Main St,Chicago,NY,60014,USA
CUST0015,FirstName15,LastName15,customer15@example.com,555-7349,ADDR016,6925 Main St,Chicago,AZ,17051,USA
CUST0016,FirstName16,LastName16,customer16@example.com,555-1212,ADDR017,4217 Main St,Los Angeles,AZ,68073,USA
CUST0017,FirstName17,LastName17,customer17@example.com,555-4695,ADDR018,6125 Main St,Phoenix,AZ,89087,USA
CUST0018,FirstName18,LastName18,customer18@example.com,555-4218,ADDR019,3270 Main St,Chicago,TX,33255,USA
CUST0019,FirstName19,LastName19,customer19@example.com,555-2220,ADDR020,3163 Main St,Los Angeles,AZ,25643,USA
CUST0020,FirstName20,LastName20,customer20@example.com,555-7180,ADDR021,765 Main St,Houston,IL,82954,USA
CUST0021,FirstName21,LastName21,customer21@example.com,555-5329,ADDR022,2231 Main St,Los Angeles,AZ,43425,USA
CUST0022,FirstName22,LastName22,customer22@example.com,555-1092,ADDR023,5515 Main St,Houston,CA,15235,USA
CUST0023,FirstName23,LastName23,customer23@example.com,555-3518,ADDR024,5385 Main St,Phoenix,NY,91968,USA
CUST0024,FirstName24,LastName24,customer24@example.com,555-5934,ADDR025,8137 Main St,Phoenix,AZ,56934,USA
CUST0025,FirstName25,LastName25,customer25@example.com,555-2194,ADDR026,5307 Main St,Phoenix,CA,34100,USA
CUST0026,FirstName26,LastName26,customer26@example.com,555-9529,ADDR027,1217 Main St,Phoenix,CA,64516,USA
