doctor_id,first_name,last_name,specialty_id,specialty_name,years_experience,hospital_id,hospital_name,hospital_city,phone,email
DOC0001,Dr. 1,Doctor1,SPEC02,ENT,7,HOSP02,Hospital 2,Boston,555-1059,doctor1@hospital.com
DOC0002,Dr. 2,Doctor2,SPEC03,Orthopedics,2,HOSP03,Hospital 3,LA,555-7623,doctor2@hospital.com
DOC0003,Dr. 3,Doctor3,SPEC04,Emergency,12,HOSP04,Hospital 4,Boston,555-7063,doctor3@hospital.com
DOC0004,Dr. 4,Doctor4,SPEC05,Anesthesiology,18,HOSP05,Hospital 5,Chicago,555-7212,doctor4@hospital.com
DOC0005,Dr. 5,Doctor5,SPEC06,Surgery,5,HOSP01,Hospital 1,Chicago,555-1320,doctor5@hospital.com
DOC0006,Dr. 6,Doctor6,SPEC07,Emergency,3,HOSP02,Hospital 2,LA,555-8091,doctor6@hospital.com
DOC0007,Dr. 7,Doctor7,SPEC08,Emergency,25,HOSP03,Hospital 3,LA,555-5401,doctor7@hospital.com
DOC0008,Dr. 8,Doctor8,SPEC09,Dermatology,5,HOSP04,Hospital 4,Boston,555-7438,doctor8@hospital.com
DOC0009,Dr. 9,Doctor9,SPEC10,Emergency,24,HOSP05,Hospital 5,Chicago,555-2417,doctor9@hospital.com
DOC0010,Dr. 10,Doctor10,SPEC11,Ophthalmology,6,HOSP01,Hospital 1,New York,555-5623,doctor10@hospital.com
DOC0011,Dr. 11,Doctor11,SPEC12,Cardiology,29,HOSP02,Hospital 2,Houston,555-6307,doctor11@hospital.com
DOC0012,Dr. 12,Doctor12,SPEC13,Dermatology,26,HOSP03,Hospital 3,Houston,555-5405,doctor12@hospital.com
DOC0013,Dr. 13,Doctor13,SPEC14,ENT,40,HOSP04,Hospital 4,LA,555-1687,doctor13@hospital.com
DOC0014,Dr. 14,Doctor14,SPEC15,Family Medicine,40,HOSP05,Hospital 5,Boston,555-7017,doctor14@hospital.com
DOC0015,Dr. 15,Doctor15,SPEC01,ENT,36,HOSP01,Hospital 1,New York,555-8043,doctor15@hospital.com
DOC0016,Dr. 16,Doctor16,SPEC02,Radiology,36,HOSP02,Hospital 2,New York,555-5820,doctor16@hospital.com
DOC0017,Dr. 17,Doctor17,SPEC03,Family Medicine,10,HOSP03,Hospital 3,LA,555-9753,doctor17@hospital.com
DOC0018,Dr. 18,Doctor18,SPEC04,Ophthalmology,37,HOSP04,Hospital 4,Houston,555-7639,doctor18@hospital.com
